sample;tokens;tags
martini бело;['▁marti', 'ni', '▁бел', 'о'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
collonil очистите;['▁collo', 'nil', '▁очисти', 'те'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
первый вкус;['▁первый', '▁вкус'];['B-TYPE', 'B-TYPE']
гампьньоны;['▁га', 'мп', 'ь', 'ньо', 'ны'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
гранул;['▁гра', 'нул'];['B-TYPE', 'I-TYPE']
чоломка;['▁чо', 'лом', 'ка'];['B-TYPE', 'I-TYPE', 'I-TYPE']
килька в томате;['▁ки', 'лька', '▁в', '▁том', 'а', 'те'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
яблрко;['▁я', 'бл', 'р', 'ко'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
ром ладог;['▁', 'ром', '▁лад', 'ог'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
манкп;['▁ман', 'к', 'п'];['B-TYPE', 'I-TYPE', 'I-TYPE']
пооошок;['▁по', 'оо', 'шок'];['B-TYPE', 'I-TYPE', 'I-TYPE']
варенец пестрав;['▁в', 'арен', 'ец', '▁пе', 'стра', 'в'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
мелки actio;['▁мел', 'ки', '▁a', 'ctio'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
кофейник thu;['▁кофе', 'й', 'ник', '▁thu'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND']
производство заливны;['▁производство', '▁за', 'лив', 'ны'];['B-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE']
энергк;['▁энерг', 'к'];['B-TYPE', 'I-TYPE']
каш;['▁каш'];['B-TYPE']
поиидо;['▁по', 'ии', 'до'];['B-TYPE', 'I-TYPE', 'I-TYPE']
mix bar;['▁mix', '▁bar'];['B-TYPE', 'B-TYPE']
клубничн;['▁клуб', 'ни', 'ч', 'н'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
kotan;['▁kot', 'an'];['B-BRAND', 'I-BRAND']
осетрин;['▁о', 'сет', 'рин'];['B-TYPE', 'I-TYPE', 'I-TYPE']
тироль;['▁', 'тир', 'оль'];['B-BRAND', 'I-BRAND', 'I-BRAND']
акпуста;['▁ак', 'пус', 'та'];['B-TYPE', 'I-TYPE', 'I-TYPE']
моинезь;['▁мои', 'не', 'зь'];['B-TYPE', 'I-TYPE', 'I-TYPE']
мистраль куску;['▁ми', 'стра', 'ль', '▁ку', 'ску'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
лимоннаая;['▁лимон', 'на', 'ая'];['B-TYPE', 'I-TYPE', 'I-TYPE']
мачло сливочное;['▁мач', 'ло', '▁с', 'ливо', 'чно', 'е'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
catterra;['▁cat', 'terra'];['B-BRAND', 'I-BRAND']
прочие конфет;['▁прочие', '▁конф', 'ет'];['B-TYPE', 'B-TYPE', 'I-TYPE']
приправа паприка;['▁при', 'права', '▁пап', 'рика'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
корм рагу говя;['▁корм', '▁ра', 'гу', '▁го', 'вя'];['B-TYPE', 'B-BRAND', 'I-BRAND', 'B-BRAND', 'I-BRAND']
блины с виш;['▁', 'бли', 'ны', '▁с', '▁', 'виш'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O']
лампы энергосберегающи;['▁ламп', 'ы', '▁энерг', 'ос', 'бере', 'га', 'ю', 'щи'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
карбонт;['▁', 'карбон', 'т'];['B-TYPE', 'I-TYPE', 'I-TYPE']
дрожжа;['▁дро', 'ж', 'жа'];['B-TYPE', 'I-TYPE', 'I-TYPE']
палочки ватные;['▁пал', 'очки', '▁', 'ват', 'ные'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
погремушек;['▁по', 'гр', 'ему', 'шек'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
овощ;['▁овощ'];['B-TYPE']
goobmix;['▁goob', 'mix'];['B-BRAND', 'I-BRAND']
памперс;['▁пам', 'перс'];['B-BRAND', 'I-BRAND']
натс;['▁на', 'тс'];['B-TYPE', 'I-TYPE']
хрусteam;['▁х', 'рус', 'team'];['B-BRAND', 'I-BRAND', 'I-BRAND']
спички н;['▁спи', 'чки', '▁н'];['B-TYPE', 'I-TYPE', 'B-BRAND']
акбар;['▁ак', 'бар'];['B-BRAND', 'I-BRAND']
пюре из индейки;['▁пюре', '▁из', '▁', 'инде', 'йки'];['B-TYPE', 'O', 'O', 'O', 'O']
миски;['▁ми', 'ски'];['B-TYPE', 'I-TYPE']
biomax та;['▁bio', 'max', '▁та'];['B-BRAND', 'I-BRAND', 'B-TYPE']
сода dr.oetker;['▁со', 'да', '▁dr', '.', 'o', 'et', 'ker'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND']
блокнот;['▁блок', 'нот'];['B-TYPE', 'I-TYPE']
роучек;['▁ро', 'у', 'чек'];['B-TYPE', 'I-TYPE', 'I-TYPE']
тайфун;['▁тай', 'фу', 'н'];['B-TYPE', 'I-TYPE', 'I-TYPE']
женкоеабр;['▁', 'жен', 'кое', 'а', 'бр'];['O', 'O', 'O', 'O', 'O']
стиральных маши;['▁с', 'тир', 'альных', '▁маш', 'и'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
кокткель;['▁', 'кок', 'тке', 'ль'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
чай каркадэ;['▁чай', '▁кар', 'ка', 'дэ'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
вермишель быстрого приго;['▁вер', 'миш', 'ель', '▁быстро', 'го', '▁при', 'го'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
полуфубрикаты;['▁полу', 'фу', 'бри', 'ка', 'ты'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
икрияки;['▁и', 'кри', 'я', 'ки'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
семечки к пенному;['▁семе', 'чки', '▁к', '▁пен', 'ному'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O']
кисель dr.oetker;['▁ки', 'сель', '▁dr', '.', 'o', 'et', 'ker'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND']
шафран kam;['▁ша', 'фра', 'н', '▁kam'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND']
наршара;['▁на', 'рш', 'ара'];['B-TYPE', 'I-TYPE', 'I-TYPE']
круасааны;['▁кру', 'а', 'са', 'аны'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
мюсли быстров;['▁м', 'ю', 'сли', '▁быстро', 'в'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
националь куск;['▁национал', 'ь', '▁ку', 'ск'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
глухаря;['▁глу', 'хар', 'я'];['B-TYPE', 'I-TYPE', 'I-TYPE']
кола в жб;['▁кола', '▁в', '▁ж', 'б'];['B-TYPE', 'O', 'O', 'O']
пенал каляка-маля;['▁пен', 'ал', '▁каля', 'ка', '-', 'ма', 'ля'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND']
кпыло;['▁к', 'пы', 'ло'];['B-TYPE', 'I-TYPE', 'I-TYPE']
блокнотов эксмо;['▁блок', 'ното', 'в', '▁экс', 'мо'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
смесь семян для салата;['▁сме', 'сь', '▁се', 'мян', '▁для', '▁салата'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'O', 'O']
тарелки одноразовые;['▁та', 'рел', 'ки', '▁одно', 'раз', 'овые'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
ракеты для мусора;['▁ракет', 'ы', '▁для', '▁', 'мус', 'ора'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O']
demetra торт;['▁de', 'metra', '▁то', 'рт'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
скумьрия;['▁', 'ску', 'м', 'ь', 'рия'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
nutriilak;['▁nutri', 'i', 'lak'];['B-BRAND', 'I-BRAND', 'I-BRAND']
сухартеи;['▁су', 'хар', 'те', 'и'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
казенаки;['▁каз', 'ена', 'ки'];['B-TYPE', 'I-TYPE', 'I-TYPE']
romstiks;['▁rom', 'sti', 'ks'];['B-BRAND', 'I-BRAND', 'I-BRAND']
иогурт без глютена;['▁и', 'о', 'гурт', '▁без', '▁гл', 'ют', 'ена'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O']
шокосики;['▁шок', 'ос', 'ики'];['B-TYPE', 'I-TYPE', 'I-TYPE']
таблетки для по;['▁таблетки', '▁для', '▁по'];['B-TYPE', 'O', 'O']
снежо;['▁сне', 'жо'];['B-TYPE', 'I-TYPE']
bigbom;['▁big', 'bom'];['B-BRAND', 'I-BRAND']
capol babis;['▁ca', 'pol', '▁babi', 's'];['O', 'O', 'O', 'O']
растительный;['▁раст', 'ительный'];['B-TYPE', 'I-TYPE']
слива гурм;['▁с', 'лива', '▁', 'гур', 'м'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
merc;['▁mer', 'c'];['B-BRAND', 'I-BRAND']
масо;['▁мас', 'о'];['B-TYPE', 'I-TYPE']
мороженое рожок;['▁мор', 'ожен', 'ое', '▁ро', 'жок'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
песоч;['▁пес', 'оч'];['B-TYPE', 'I-TYPE']
гольф;['▁г', 'ольф'];['B-TYPE', 'I-TYPE']
прккладки;['▁пр', 'к', 'клад', 'ки'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
суыле;['▁су', 'ы', 'ле'];['B-TYPE', 'I-TYPE', 'I-TYPE']
филейный рулет;['▁фил', 'ей', 'ный', '▁рулет'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE']
сыроьогатов;['▁сыр', 'о', 'ьо', 'га', 'тов'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
glori;['▁glori'];['B-BRAND']
эконива кефи;['▁э', 'кон', 'ива', '▁ке', 'фи'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
консервы диабетические;['▁консерв', 'ы', '▁диабет', 'ические'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
сгущенные сливки;['▁с', 'гу', 'щен', 'ные', '▁с', 'лив', 'ки'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
савоярди;['▁са', 'во', 'я', 'рди'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
пекин;['▁пе', 'кин'];['B-BRAND', 'I-BRAND']
мопидор;['▁мо', 'пи', 'дор'];['B-TYPE', 'I-TYPE', 'I-TYPE']
крылья в мариновкн;['▁кры', 'лья', '▁в', '▁мар', 'инов', 'к', 'н'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O', 'O']
пюре фрутоняня говядина;['▁пюре', '▁фр', 'у', 'то', 'ня', 'ня', '▁го', 'вя', 'дина'];['B-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'O', 'O', 'O']
чашки domen;['▁чаш', 'ки', '▁do', 'men'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
фаршы;['▁фар', 'шы'];['B-TYPE', 'I-TYPE']
для мвтья полов;['▁для', '▁м', 'в', 'ть', 'я', '▁полов'];['O', 'O', 'O', 'O', 'O', 'O']
салатнк;['▁салат', 'нк'];['B-TYPE', 'I-TYPE']
сметкна;['▁сме', 'тк', 'на'];['B-TYPE', 'I-TYPE', 'I-TYPE']
тйгурт;['▁т', 'й', 'гурт'];['B-TYPE', 'I-TYPE', 'I-TYPE']
твррожки;['▁т', 'вр', 'рож', 'ки'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
туалетная бумага zewa;['▁туалет', 'ная', '▁бумаг', 'а', '▁ze', 'wa'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
bombb;['▁bomb', 'b'];['B-BRAND', 'I-BRAND']
чанах;['▁ча', 'нах'];['B-TYPE', 'I-TYPE']
скйка;['▁ск', 'йка'];['B-TYPE', 'I-TYPE']
помижлры;['▁по', 'ми', 'ж', 'л', 'ры'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
йогурт термостатный;['▁й', 'о', 'гурт', '▁термо', 'стат', 'ный'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
лепешказ;['▁лепе', 'ш', 'каз'];['B-TYPE', 'I-TYPE', 'I-TYPE']
skandi;['▁skand', 'i'];['B-BRAND', 'I-BRAND']
сливушка;['▁с', 'лив', 'ушка'];['B-TYPE', 'I-TYPE', 'I-TYPE']
красная икра;['▁крас', 'ная', '▁и', 'кра'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
косметичка;['▁кос', 'мет', 'ичка'];['B-TYPE', 'I-TYPE', 'I-TYPE']
рис длинный;['▁рис', '▁', 'длин', 'ный'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
кофеварки polaris;['▁кофе', 'вар', 'ки', '▁pola', 'ris'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
прочие пряности;['▁прочие', '▁пря', 'ности'];['B-TYPE', 'B-TYPE', 'I-TYPE']
морковз;['▁мор', 'ков', 'з'];['B-TYPE', 'I-TYPE', 'I-TYPE']
сельдьщ;['▁', 'сель', 'дь', 'щ'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
яйцп;['▁', 'яй', 'ц', 'п'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
напитки сокосодержащ;['▁напитки', '▁сок', 'осо', 'держ', 'а', 'щ'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
кейпопс;['▁кей', 'по', 'пс'];['B-TYPE', 'I-TYPE', 'I-TYPE']
еколбаса;['▁е', 'кол', 'баса'];['B-TYPE', 'I-TYPE', 'I-TYPE']
завтраки marc&фи;['▁завтра', 'ки', '▁marc', '&', 'фи'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
тирамису;['▁', 'тира', 'ми', 'су'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
йогурт нату;['▁й', 'о', 'гурт', '▁на', 'ту'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
слойка дарниц;['▁сло', 'йка', '▁дар', 'ни', 'ц'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
питунья;['▁пи', 'тун', 'ья'];['B-TYPE', 'I-TYPE', 'I-TYPE']
яиабата;['▁я', 'и', 'а', 'бата'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
мяск;['▁мя', 'ск'];['B-TYPE', 'I-TYPE']
батарейки vart;['▁бата', 'рей', 'ки', '▁var', 't'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
пудрп;['▁пу', 'д', 'рп'];['B-TYPE', 'I-TYPE', 'I-TYPE']
нумик пельмеш;['▁ну', 'ми', 'к', '▁', 'пель', 'меш'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE']
зелёный горошек;['▁', 'зе', 'лё', 'ный', '▁гор', 'о', 'шек'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
удлинитель косм;['▁у', 'длин', 'итель', '▁кос', 'м'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
глория сосиски;['▁гл', 'ория', '▁со', 'си', 'ски'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE']
сузарики;['▁су', 'зар', 'ики'];['B-BRAND', 'I-BRAND', 'I-BRAND']
нож papstar;['▁нож', '▁pap', 'star'];['B-TYPE', 'B-BRAND', 'I-BRAND']
торафий;['▁тор', 'аф', 'ий'];['O', 'O', 'O']
сыроа;['▁сыр', 'о', 'а'];['B-TYPE', 'I-TYPE', 'I-TYPE']
soko grande;['▁soko', '▁grande'];['B-BRAND', 'B-BRAND']
бумага smob;['▁бумаг', 'а', '▁smo', 'b'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
зонтик галант;['▁', 'зон', 'тик', '▁гал', 'ант'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
грейпфрукты;['▁гре', 'й', 'п', 'ф', 'рук', 'ты'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
ояба;['▁о', 'я', 'ба'];['B-TYPE', 'I-TYPE', 'I-TYPE']
сливичный;['▁с', 'ливи', 'чный'];['B-TYPE', 'I-TYPE', 'I-TYPE']
сырокх;['▁сыр', 'ок', 'х'];['B-TYPE', 'I-TYPE', 'I-TYPE']
ягодно;['▁яго', 'дно'];['B-TYPE', 'I-TYPE']
псираль;['▁п', 'сир', 'аль'];['B-TYPE', 'I-TYPE', 'I-TYPE']
дуршлаги, си;['▁дур', 'шла', 'ги', ',', '▁си'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE']
алажан;['▁ала', 'жан'];['O', 'O']
нектар приве;['▁не', 'ктар', '▁при', 'ве'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
печен.;['▁пече', 'н', '.'];['B-TYPE', 'I-TYPE', 'I-TYPE']
булочки с шоколадом;['▁було', 'чки', '▁с', '▁шоколад', 'ом'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O']
простынь picassa;['▁прост', 'ын', 'ь', '▁pic', 'assa'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
милавица например;['▁', 'мила', 'вица', '▁например'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'O']
бульме;['▁бул', 'ь', 'ме'];['B-TYPE', 'I-TYPE', 'I-TYPE']
напиток с сливками;['▁на', 'пит', 'ок', '▁с', '▁с', 'лив', 'ками'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O']
инбирь;['▁', 'ин', 'бир', 'ь'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
наггктсы;['▁на', 'г', 'г', 'кт', 'сы'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
колгот. incant;['▁кол', 'гот', '.', '▁in', 'cant'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
пельми;['▁', 'пель', 'ми'];['B-TYPE', 'I-TYPE', 'I-TYPE']
салатник uta;['▁салат', 'ник', '▁ut', 'a'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
велосипеди;['▁велосипед', 'и'];['B-TYPE', 'I-TYPE']
напиток чайный ромашка;['▁на', 'пит', 'ок', '▁чай', 'ный', '▁ро', 'ма', 'шка'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
seasons журнал;['▁season', 's', '▁журнал'];['B-BRAND', 'I-BRAND', 'B-TYPE']
скребки svi;['▁', 'скре', 'б', 'ки', '▁svi'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND']
индейка филе бедра;['▁', 'инде', 'йка', '▁фил', 'е', '▁бед', 'ра'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
конфеты happy hit;['▁конф', 'е', 'ты', '▁happy', '▁hit'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'B-BRAND']
плавки keano;['▁плав', 'ки', '▁ke', 'ano'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
персатки;['▁пер', 'са', 'тки'];['B-TYPE', 'I-TYPE', 'I-TYPE']
пальто grish;['▁', 'паль', 'то', '▁gris', 'h'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
креветки в заливке;['▁кревет', 'ки', '▁в', '▁за', 'лив', 'ке'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O']
мальвина;['▁', 'маль', 'вина'];['B-BRAND', 'I-BRAND', 'I-BRAND']
№1 саш;['▁No', '1', '▁са', 'ш'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
булочние;['▁було', 'чни', 'е'];['B-TYPE', 'I-TYPE', 'I-TYPE']
рм;['▁р', 'м'];['O', 'O']
хлебозавод;['▁хлеб', 'о', 'завод'];['B-BRAND', 'I-BRAND', 'I-BRAND']
вялегве;['▁в', 'я', 'лег', 'ве'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
мармелада желейного;['▁мар', 'ме', 'лада', '▁же', 'лей', 'ного'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
сок с трубочк;['▁сок', '▁с', '▁труб', 'оч', 'к'];['B-TYPE', 'O', 'O', 'O', 'O']
моцарела шердинге;['▁мо', 'цар', 'ела', '▁шер', 'дин', 'ге'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
злаков;['▁зла', 'ков'];['B-TYPE', 'I-TYPE']
lamber;['▁la', 'mber'];['B-BRAND', 'I-BRAND']
fruittella дра;['▁fruit', 'tella', '▁дра'];['B-BRAND', 'I-BRAND', 'B-TYPE']
флеш с лаймом;['▁флеш', '▁с', '▁', 'лай', 'мом'];['B-TYPE', 'O', 'O', 'O', 'O']
влажная салфетка;['▁влажн', 'ая', '▁сал', 'фет', 'ка'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
velle;['▁', 'velle'];['B-BRAND', 'I-BRAND']
сухарики с тома;['▁су', 'хар', 'ики', '▁с', '▁том', 'а'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O']
пластилин clipstud;['▁пласт', 'или', 'н', '▁clip', 's', 'tud'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
творог⁸;['▁твор', 'ог', '8'];['B-TYPE', 'I-TYPE', 'I-TYPE']
кпомпот;['▁к', 'пом', 'пот'];['B-TYPE', 'I-TYPE', 'I-TYPE']
йогурт греч;['▁й', 'о', 'гурт', '▁гре', 'ч'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
derol;['▁de', 'rol'];['B-BRAND', 'I-BRAND']
вермуты martin;['▁вер', 'му', 'ты', '▁', 'martin'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
хлеб для тосто;['▁хлеб', '▁для', '▁то', 'сто'];['B-TYPE', 'O', 'O', 'O']
пелельмени;['▁', 'пел', 'ель', 'мени'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
гранатоввй;['▁гранат', 'ов', 'в', 'й'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
торт.;['▁то', 'рт', '.'];['B-TYPE', 'I-TYPE', 'I-TYPE']
мясо индейки;['▁мя', 'со', '▁', 'инде', 'йки'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
россинка;['▁', 'росс', 'инка'];['B-BRAND', 'I-BRAND', 'I-BRAND']
зажигал;['▁за', 'жи', 'гал'];['B-TYPE', 'I-TYPE', 'I-TYPE']
моруовь;['▁мор', 'у', 'ов', 'ь'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
кремлевская;['▁крем', 'лев', 'ская'];['B-BRAND', 'I-BRAND', 'I-BRAND']
чизкейк;['▁чи', 'з', 'кей', 'к'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
ситно;['▁си', 'тно'];['B-TYPE', 'I-TYPE']
терряки;['▁тер', 'ря', 'ки'];['B-TYPE', 'I-TYPE', 'I-TYPE']
глазированыц;['▁глаз', 'ированы', 'ц'];['B-TYPE', 'I-TYPE', 'I-TYPE']
филейные;['▁фил', 'ей', 'ные'];['B-TYPE', 'I-TYPE', 'I-TYPE']
вода талая газированная;['▁вода', '▁тал', 'ая', '▁газ', 'ирован', 'ная'];['B-TYPE', 'O', 'O', 'O', 'O', 'O']
шашлычны;['▁шаш', 'л', 'ычны'];['B-TYPE', 'I-TYPE', 'I-TYPE']
кондициогер за до;['▁кон', 'дици', 'о', 'гер', '▁за', '▁до'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O']
яеца;['▁яе', 'ца'];['B-TYPE', 'I-TYPE']
каашеная;['▁ка', 'а', 'ше', 'ная'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
поло, футболк;['▁', 'поло', ',', '▁футбол', 'к'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
карамель милагр;['▁кара', 'мель', '▁', 'мила', 'гр'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
нф чашка;['▁н', 'ф', '▁чаш', 'ка'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
сыр чечил;['▁сыр', '▁че', 'чил'];['B-TYPE', 'B-TYPE', 'I-TYPE']
колбаса вареная;['▁кол', 'баса', '▁вар', 'е', 'ная'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
арбузный;['▁ар', 'буз', 'ный'];['B-TYPE', 'I-TYPE', 'I-TYPE']
сок гранатовый;['▁сок', '▁гранат', 'овый'];['B-TYPE', 'B-TYPE', 'I-TYPE']
моцарела шердингер;['▁мо', 'цар', 'ела', '▁шер', 'дин', 'гер'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
