tokens;tags;sample
['▁', 'уль', 'та', 'па', 'стер', 'изован', 'ное'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];ультапастеризованное
['▁не', '▁А', 'КС', 'ЕС', 'СУ', 'АРЫ', '▁80', 'ml'];['O', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];не АКСЕССУАРЫ 80ml
['▁2', '▁e', '0', '▁г', '▁В', 'кус'];['B-VOLUME', 'I-VOLUME', 'I-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE'];2 e0 г Вкус
['▁раст', 'ител'];['B-TYPE', 'I-TYPE'];растител
['▁m', 'jas', 'o', '▁400', '▁г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];mjaso 400 г
['▁мор', 'ожен', 'ое', '▁6', '▁%'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-PERCENT', 'I-PERCENT'];мороженое 6 %
['▁кревет', 'ок'];['B-TYPE', 'I-TYPE'];креветок
['▁чи', 'п', 'сы', '▁200', '▁г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];чипсы 200 г
['▁glob', 'us', '▁комп', 'от'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE'];globus компот
['▁ве', 'ган', '▁0%'];['B-TYPE', 'I-TYPE', 'B-PERCENT'];веган 0%
['▁зелен', 'ь', '▁210', '▁g'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];зелень 210 g
['▁сад'];['O'];сад
['▁овощ', 'ное', '▁ас', 'сор'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE'];овощное ассор
['▁каш', 'и', '▁250', '▁Г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];каши 250 Г
['▁бе', 'лог'];['B-TYPE', 'I-TYPE'];белог
['▁кра', 'б', 'овые', '▁пал', 'очки', '▁рус', 'ское', '▁море'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'B-BRAND'];крабовые палочки русское море
['▁пол', 'сол', 'не', 'чно', 'е'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];полсолнечное
['▁кре', 'кер', 'ы', '▁', 'зер', 'ни'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND'];крекеры зерни
['▁новин', 'ки', '▁с', '▁до', 'став', 'кой', '▁130', '▁г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];новинки с доставкой 130 г
['▁сви', 'нина', '▁туш', 'ен', 'на'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];свинина тушенна
['▁kota', 'nyi', '▁вас', 'а', 'би'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE'];kotanyi васаби
['▁зуб', 'о', 'чист', 'ка', '▁рус', 'ало', 'ч'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND'];зубочистка русалоч
['▁de', 'lika', 'sier'];['B-BRAND', 'I-BRAND', 'I-BRAND'];delikasier
['▁муж', 'ские', '▁набор', 'ы'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE'];мужские наборы
['▁яго', 'ды', '▁1.3', '▁кг'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];ягоды 1.3 кг
['▁dekor', '▁d', 'lja', '▁doma', '▁1', 'Ш', 'т'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];dekor dlja doma 1Шт
['▁я', 'бло', 'е', 'о'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];яблоео
['▁укр', 'оп', '▁ре', 'стори'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];укроп рестори
['▁основные', '▁блюд', 'а', '▁320', 'Г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];основные блюда 320Г
['▁кол', 'б', 'кса'];['B-TYPE', 'I-TYPE', 'I-TYPE'];колбкса
['▁закуска', '▁', 'вен', 'гер', 'ская'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];закуска венгерская
['▁темп', 'ура'];['B-TYPE', 'I-TYPE'];темпура
['▁смета', 'г', 'к'];['B-TYPE', 'I-TYPE', 'I-TYPE'];сметагк
['▁salto', 'n', '▁крас', 'к'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE'];salton краск
['▁сол', 'ом', 'ка', '▁w', '05', 'г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];соломка w05г
['▁шам', 'пу', 'нь', '▁карап', 'уз'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];шампунь карапуз
['▁ше', 'но'];['B-TYPE', 'I-TYPE'];шено
['▁игри', 'сто', 'е'];['B-TYPE', 'I-TYPE', 'I-TYPE'];игристое
['▁protein'];['B-TYPE'];protein
['▁при', 'права', '▁для', '▁карт', 'ош', 'к'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O'];приправа для картошк
['▁5', '▁%', '▁', 'ific'];['B-PERCENT', 'I-PERCENT', 'B-BRAND', 'I-BRAND'];▁ ▁ 5 % ific
['▁салат', 'ы', '▁200', '▁г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];салаты 200 г
['▁раст', 'ительный', '▁на', 'пит', 'ок'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];растительный напиток
['▁о', 'гур', 'ь', 'ца'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];огурьца
['▁полу', 'коп', 'че', 'ная', '▁кол', 'басы'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE'];полукопченая колбасы
['▁сахар', 'оза', 'ме'];['B-TYPE', 'I-TYPE', 'I-TYPE'];сахарозаме
['▁перенос', 'ки', '▁home', 'pet'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];переноски homepet
['▁hori', 'll'];['B-BRAND', 'I-BRAND'];horill
['▁ай', 'зе', 'лит'];['B-TYPE', 'I-TYPE', 'I-TYPE'];айзелит
['▁лицом', '▁92', '▁%'];['B-TYPE', 'B-PERCENT', 'I-PERCENT'];лицом 92 %
['▁тур', 'си', 'ки'];['B-TYPE', 'I-TYPE', 'I-TYPE'];турсики
['▁из', '▁ки', 'льки'];['B-TYPE', 'B-TYPE', 'I-TYPE'];из кильки
['▁су', 'аре'];['B-BRAND', 'I-BRAND'];суаре
['▁зуб', 'ные', '▁ще', 'т'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE'];зубные щет
['▁не', 'ктар', '▁бар', 'ино'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];нектар барино
['▁со', 'ком'];['B-TYPE', 'I-TYPE'];соком
['▁', 'гель', '▁', 'лля', '▁у', 'мы', 'вания'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O', 'O'];гель лля умывания
['▁со', 'у', 'сы', '▁30', '▁%'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-PERCENT', 'I-PERCENT'];соусы 30 %
['▁бак', 'ла', 'жан', 'н'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];баклажанн
['▁5', '▁%', '▁снова', '▁в', '▁школу', '▁при'];['B-PERCENT', 'I-PERCENT', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'O'];5 % снова в школу при
['▁замор', 'ожен', 'н', 'н'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];замороженнн
['▁Со', '▁здоровье', '▁21'];['B-TYPE', 'B-BRAND', 'B-VOLUME'];▁ Со ▁здоровье ▁ 21
['▁пр', 'чие', '▁г', 'ды'];['O', 'O', 'O', 'O'];прчие гды
['▁', 'гер', 'ку', 'лес', 'о'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];геркулесо
['▁де', 'зо', 'дора'];['B-TYPE', 'I-TYPE', 'I-TYPE'];дезодора
['▁дра', 'же', '▁16', '▁g'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];драже 16 g
['▁найти', '▁СО', 'КИ', '▁7', '▁T', '0', '▁М', 'л'];['O', 'B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME', 'I-VOLUME', 'I-VOLUME'];найти СОКИ 7 T0 Мл
['▁всякий', '▁кол', 'баса', '▁330', 'f'];['O', 'B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];всякий колбаса 330f
['▁поль', 'за', '▁и', '▁вкус'];['B-BRAND', 'I-BRAND', 'B-BRAND', 'B-BRAND'];польза и вкус
['▁кра', 'б', 'ова'];['B-TYPE', 'I-TYPE', 'I-TYPE'];крабова
['▁э', 'кле', 'ры'];['B-TYPE', 'I-TYPE', 'I-TYPE'];эклеры
['▁ч', 'й', 'ца'];['B-TYPE', 'I-TYPE', 'I-TYPE'];чйца
['▁320', 'г', '▁основные', '▁блюд', 'а'];['B-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE', 'I-TYPE'];320г основные блюда
['▁за', 'готов', 'ки', '▁для', '▁пи', 'ц', 'цы'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O'];заготовки для пиццы
['▁я', 'дру', 'на'];['B-TYPE', 'I-TYPE', 'I-TYPE'];ядруна
['▁стакан', 'чики'];['B-TYPE', 'I-TYPE'];стаканчики
['▁Х', 'леб', 'цы', '▁125', 'Г', '▁эти'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'O'];Хлебцы 125Г эти
['▁банан', 'ы', '1'];['B-TYPE', 'I-TYPE', 'I-TYPE'];бананы1
['▁230', '▁г', '▁чай'];['B-VOLUME', 'I-VOLUME', 'B-TYPE'];230 г чай
['▁хлеб', 'цы', '▁200', 'г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];хлебцы 200г
['▁би', 'ттер'];['B-TYPE', 'I-TYPE'];биттер
['▁ко', 'кос'];['B-TYPE', 'I-TYPE'];кокос
['▁мор', 'ков', 'ь', '▁бел', 'о', 'руч'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND'];морковь белоруч
['▁ш', 'м', 'кола', 'ду', 'а'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];шмколадуа
['▁ще', 'л', 'ков', 'х', 'леб'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];щелковхлеб
['▁десерт', 'ы', '▁90', '5', 'М', 'л'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME', 'I-VOLUME'];десерты 905Мл
['▁их', '▁700', '▁Г', '▁круп', 'ы'];['O', 'B-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE'];их 700 Г крупы
['▁', 'ква', 'сц'];['B-TYPE', 'I-TYPE', 'I-TYPE'];квасц
['▁мер', 'си'];['B-BRAND', 'I-BRAND'];мерси
['▁15', '▁%', '▁С', 'ЫР'];['B-PERCENT', 'I-PERCENT', 'B-TYPE', 'I-TYPE'];▁ 15 % ▁ СЫР
['▁rom', 'sti', 'ks'];['B-BRAND', 'I-BRAND', 'I-BRAND'];romstiks
['▁фр', 'ика', 'дель', 'е'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];фрикаделье
['▁', 'фу', 'нчо', 'зу'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];фунчозу
['▁овощ', 'и', '▁300', 'г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];овощи 300г
['▁макар', 'оны', '▁цель', 'но', 'зер', 'н', 'овые'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];макароны цельнозерновые
['▁пет', 'руш', 'к', 'к'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];петрушкк
['▁и', 'кра', '▁', 'ло', 'сос', 'ево'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];икра лососево
['▁лимон', 'ные', '▁до', 'льки'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE'];лимонные дольки
['▁in', 'time'];['B-BRAND', 'I-BRAND'];intime
['▁кре', 'кер', 'в'];['B-TYPE', 'I-TYPE', 'I-TYPE'];крекерв
['▁на', 'ге', 'тс', 'сы'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];нагетссы
['▁при', 'права', '▁для', '▁коре', 'й', 'ски'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O'];приправа для корейски
['▁й', 'о', 'гурт', '▁', 'пить', 'евой'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];йогурт питьевой
['▁хочу', '▁очисти', 'тель'];['O', 'B-TYPE', 'I-TYPE'];хочу очиститель
['▁че', 'бру', 'к'];['B-TYPE', 'I-TYPE', 'I-TYPE'];чебрук
['▁ара', 'рат', '▁кон', 'ья', 'ка'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE'];арарат коньяка
['▁са', 'мир', 'ель'];['B-BRAND', 'I-BRAND', 'I-BRAND'];самирель
['▁клин', 'ский', '▁сард', 'ель', 'ки'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE'];клинский сардельки
['▁95', 'Г', '▁школа', '▁от', '▁бар', 'ни'];['B-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];95Г школа от барни
['▁Я', 'й', 'цо', '▁40%'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-PERCENT'];Яйцо 40%
['▁ap', 'te', '▁бо', 'тин', 'к'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE'];apte ботинк
['▁при', 'зер', 'во', 'ти', 'вы'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];призервотивы
['▁pa', 'pad', 'imit', 'rio', 'u', '▁кап', 'уста'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE'];papadimitriou капуста
['▁корм', '▁для', '▁к'];['B-TYPE', 'O', 'O'];корм для к
['▁gran', 'ge'];['B-BRAND', 'I-BRAND'];grange
['▁хлеб', '▁ке', 'фи', 'р', 'ный'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];хлеб кефирный
['▁о', 'свет', 'ли', 'тель'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];осветлитель
['▁открыт', 'ки', ',', '▁календар'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE'];открытки, календар
['▁', 'фили', '▁бей'];['B-TYPE', 'I-TYPE', 'B-TYPE'];фили бей
['▁пиво', '▁0.5', '%'];['B-TYPE', 'B-PERCENT', 'I-PERCENT'];пиво 0.5%
['▁леп', 'к', 'шка'];['B-TYPE', 'I-TYPE', 'I-TYPE'];лепкшка
['▁эне', 'ер', 'г', 'тик'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];энеергтик
['▁ки', 'се'];['B-TYPE', 'I-TYPE'];кисе
['▁только', '▁в', '▁до', 'став', 'ке', '▁1', 'К', 'г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];только в доставке 1Кг
['▁май', 'о', 'нез', '▁6', '7%'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-PERCENT', 'I-PERCENT'];майонез 67%
['▁пакет', 'ы', '▁до', 'я', '▁', 'ед', 'в'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O', 'O'];пакеты доя едв
['▁прочие', '▁яго'];['B-TYPE', 'B-TYPE'];прочие яго
['▁каб', 'ачки', '▁чер', 'ка', 'ши'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND'];кабачки черкаши
['▁', 'ВАР', 'ЕНИ', 'КИ', '▁520', '▁г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];ВАРЕНИКИ 520 г
['▁vi', 'ci', '▁хе'];['B-BRAND', 'I-BRAND', 'B-TYPE'];vici хе
['▁бей', 'с', 'бол', 'ки', ',', '▁кеп', 'к'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE'];бейсболки, кепк
['▁сол', 'ом', 'ка', '▁205', '▁g'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];соломка 205 g
['▁полет', 'ен', 'ца'];['B-TYPE', 'I-TYPE', 'I-TYPE'];полетенца
['▁500', 'g', '▁сол', 'ом', 'ка', '▁нет'];['B-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'O'];500g соломка нет
['▁бак', 'ла', 'жаны', '▁с', 'лад'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];баклажаны слад
['▁по', 'ми', 'дор', 'ф'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];помидорф
['▁зелен', 'ь', '▁600', '▁Г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];зелень 600 Г
['▁сти', 'рка', '▁7', '2%'];['B-TYPE', 'I-TYPE', 'B-PERCENT', 'I-PERCENT'];стирка 72%
['▁salat', 'y', '▁210', 'Г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];salaty 210Г
['▁сме', 'сь', '▁су', 'ха', 'я', '▁на', '▁второ', 'е'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O'];смесь сухая на второе
['▁пере', 'кре', 'сток', '▁поп', 'кор'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE'];перекресток попкор
['▁при', 'права', '▁для', '▁кре', 'ве'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O'];приправа для креве
['▁пет', 'рох', 'леб', '▁кала', 'чи'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE'];петрохлеб калачи
['▁сме', 'и', 'ан'];['B-TYPE', 'I-TYPE', 'I-TYPE'];смеиан
['▁му', 'сс', '▁dr', '.', 'o', 'et', 'ker'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND'];мусс dr.oetker
['▁поро', 'шок', '▁у', 'ща', 'сты', 'й', '▁ня', 'нь'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'B-BRAND', 'I-BRAND'];порошок ущастый нянь
['▁Д', 'ЕС', 'ЕР', 'ТЫ', '▁17', '▁%'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-PERCENT', 'I-PERCENT'];ДЕСЕРТЫ 17 %
['▁яго', 'ды', '▁200', 'г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];ягоды 200г
['▁конф', 'е', 'ты', '▁мини'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE'];конфеты мини
['▁кру', 'асан', 'в'];['B-TYPE', 'I-TYPE', 'I-TYPE'];круасанв
['▁в', 'еш', 'алка'];['B-TYPE', 'I-TYPE', 'I-TYPE'];вешалка
['▁на', 'руч', 'не', 'ча', 'ы'];['O', 'O', 'O', 'O', 'O'];наручнечаы
['▁крыш', 'ка'];['B-TYPE', 'I-TYPE'];крышка
['▁ori', '▁го', 'ль'];['B-BRAND', 'B-TYPE', 'I-TYPE'];ori голь
['▁они', 'ги', 'ри', 'и'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];онигирии
['▁global', '▁village', '▁лет', 'няя', '▁яго', 'да'];['B-BRAND', 'B-BRAND', 'B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE'];global village летняя ягода
['▁твор', 'ог', '▁без', '▁сахар', 'а'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O'];творог без сахара
['▁желе', '▁без', '▁сахар', 'а'];['B-TYPE', 'O', 'O', 'O'];желе без сахара
['▁за', 'лив', 'ное'];['B-TYPE', 'I-TYPE', 'I-TYPE'];заливное
['▁4%', '▁у', 'кс', 'ус'];['B-PERCENT', 'B-TYPE', 'I-TYPE', 'I-TYPE'];4% уксус
['▁', 'вит', 'чина'];['B-TYPE', 'I-TYPE', 'I-TYPE'];витчина
['▁кур', 'ин'];['B-TYPE', 'I-TYPE'];курин
['▁тест', 'о', '▁на', '▁че', 'бу', 'рек'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O'];тесто на чебурек
['▁каш', 'а', '▁пер', 'лова', 'я'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];каша перловая
['▁ir', 'it', '▁кофе', 'вар'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE'];irit кофевар
['▁гриб', 'ов'];['B-TYPE', 'I-TYPE'];грибов
['▁му', 'сс', '▁для', '▁у', 'ко', 'а', 'лки'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O', 'O'];мусс для укоалки
"['▁sol', ""▁'"", '▁150', 'г']";['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];sol ' 150г
['▁', 'рф', '-', 'сер', 'вис', '▁бумаг', 'и'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE'];рф-сервис бумаги
['▁5', '▁г', '▁аптека'];['B-VOLUME', 'I-VOLUME', 'B-TYPE'];5 г аптека
['▁детски', 'е', '▁напитки', '▁2.', '▁9', '▁%'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-PERCENT', 'I-PERCENT', 'I-PERCENT'];детские напитки 2. 9 %
['▁то', 'рт', 'н'];['B-TYPE', 'I-TYPE', 'I-TYPE'];тортн
['▁', 'ог', 'уре', 'у'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];огуреу
['▁к', 'вас', '▁500', '▁мл'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];квас 500 мл
['▁бре', 'ст', '-', 'ли', 'тов', 'ск', '▁ке'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE'];брест-литовск ке
['▁земля', 'ни', 'чный'];['B-TYPE', 'I-TYPE', 'I-TYPE'];земляничный
['▁мир', 'атор', 'г'];['B-BRAND', 'I-BRAND', 'I-BRAND'];мираторг
['▁по', 'ми', 'дор', 'п'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];помидорп
['▁salt', 'lett', 's'];['B-BRAND', 'I-BRAND', 'I-BRAND'];saltletts
['▁сло', 'енка'];['B-TYPE', 'I-TYPE'];слоенка
['▁шоколад', 'ка', '▁со', '▁с', 'лив', 'очной'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O'];шоколадка со сливочной
['▁хлеб', '▁бел', 'ый', '▁на', 'рез', 'ной'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'O', 'O', 'O'];хлеб белый нарезной
['▁green', 'fi'];['B-BRAND', 'I-BRAND'];greenfi
['▁', 'рога', 'лики', '▁', 'лима'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];рогалики лима
['▁сыр', '▁твор', 'од', 'ный'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];сыр твородный
['▁Ве', 'ган', '▁0', '.', '▁7', '▁%'];['B-TYPE', 'I-TYPE', 'B-PERCENT', 'I-PERCENT', 'I-PERCENT', 'I-PERCENT'];Веган 0. 7 %
['▁сыр', 'нички', '▁ни', 'коль', 'ск'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND'];сырнички никольск
['▁макар', 'оны', '▁2', 'К', 'Г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];макароны 2КГ
['▁', 'tka', 'no', '▁хлеб', 'ни'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE'];tkano хлебни
['▁твор', 'ог', '▁1', 'кг'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];творог 1кг
['▁сахар', '▁5', '▁г'];['B-TYPE', 'B-VOLUME', 'I-VOLUME'];сахар 5 г
['▁кол', 'баса', '▁мя', 'с', 'ная'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];колбаса мясная
['▁твор', 'ог', '▁3.', '6-4', '.', '6%'];['B-TYPE', 'I-TYPE', 'B-PERCENT', 'I-PERCENT', 'I-PERCENT', 'I-PERCENT'];творог 3.6-4.6%
"['▁za', 'lit', ""'"", '▁kip', 'jat', 'kom', '▁95', '▁мл']";['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];zalit' kipjatkom 95 мл
['▁', 'еж', 'п', 'дне', 'вки'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];ежпдневки
['▁мор', 'ожен', 'ное', '▁сам', '▁по'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O'];мороженное сам по
['▁ир', 'бит', 'ское'];['B-BRAND', 'I-BRAND', 'I-BRAND'];ирбитское
['▁гл', 'ория', '▁со', 'си', 'ски'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE'];глория сосиски
['▁без', 'моло', 'ч', 'н'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];безмолочн
['▁А', 'РОМ', 'А', 'ТЫ', '▁ДЛЯ', '▁ДО', 'МА', '▁80', 'м', 'л'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];АРОМАТЫ ДЛЯ ДОМА 80мл
['▁й', 'а', 'рш'];['B-TYPE', 'I-TYPE', 'I-TYPE'];йарш
['▁под', 'сол', 'чне', 'чно', 'е'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];подсолчнечное
